name,rating,genre,released_year,score,votes,director,writer,star,country,budget,gross,company
The Shining,R,Drama,1980,8.4,927000,Stanley Kubrick,Stephen King,Jack Nicholson,United Kingdom,19000000,46998772,Warner Bros.
The Blue Lagoon,R,Adventure,1980,5.8,65000,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,United States,4500000,58853106,Columbia Pictures
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,8.7,1200000,Irvin Kershner,Leigh Brackett,Mark Hamill,United States,18000000,538375067,Lucasfilm
Airplane!,PG,Comedy,1980,7.7,221000,Jim Abrahams,Jim Abrahams,Robert Hays,United States,3500000,83453539,Paramount Pictures
Caddyshack,R,Comedy,1980,7.3,108000,Harold Ramis,Brian Doyle-Murray,Chevy Chase,United States,6000000,39846344,Orion Pictures
Friday the 13th,R,Horror,1980,6.4,123000,Sean S. Cunningham,Victor Miller,Betsy Palmer,United States,550000,39754601,Paramount Pictures
The Blues Brothers,R,Action,1980,7.9,188000,John Landis,Dan Aykroyd,John Belushi,United States,27000000,115229890,Universal Pictures
Raging Bull,R,Biography,1980,8.2,330000,Martin Scorsese,Jake LaMotta,Robert De Niro,United States,18000000,23402427,Chartoff-Winkler Productions
Superman II,PG,Action,1980,6.8,101000,Richard Lester,Jerry Siegel,Gene Hackman,United States,54000000,108185706,Dovemead Films
The Long Riders,R,Biography,1980,7,10000,Walter Hill,Bill Bryden,David Carradine,United States,10000000,15795189,United Artists
Any Which Way You Can,PG,Action,1980,6.1,18000,Buddy Van Horn,Stanford Sherman,Clint Eastwood,United States,15000000,70687344,The Malpaso Company
The Gods Must Be Crazy,PG,Adventure,1980,7.3,54000,Jamie Uys,Jamie Uys,N!xau,South Africa,5000000,30031783,C.A.T. Films
Popeye,PG,Adventure,1980,5.3,30000,Robert Altman,Jules Feiffer,Robin Williams,United States,20000000,49823037,Paramount Pictures
Ordinary People,R,Drama,1980,7.7,49000,Robert Redford,Judith Guest,Donald Sutherland,United States,6000000,54766923,Paramount Pictures
Dressed to Kill,R,Crime,1980,7.1,37000,Brian De Palma,Brian De Palma,Michael Caine,United States,6500000,31899000,Filmways Pictures
Somewhere in Time,PG,Drama,1980,7.2,27000,Jeannot Szwarc,Richard Matheson,Christopher Reeve,United States,5100000,9709597,Rastar Pictures
9 to 5,PG,Comedy,1980,6.9,29000,Colin Higgins,Patricia Resnick,Jane Fonda,United States,10000000,103300686,IPC Films
The Fog,R,Horror,1980,6.8,66000,John Carpenter,John Carpenter,Adrienne Barbeau,United States,1000000,21448782,AVCO Embassy Pictures
Cruising,R,Crime,1980,6.5,20000,William Friedkin,William Friedkin,Al Pacino,West Germany,11000000,19814523,Lorimar Film Entertainment
Heaven's Gate,R,Adventure,1980,6.8,14000,Michael Cimino,Michael Cimino,Kris Kristofferson,United States,44000000,3484523,Partisan Productions
The Final Countdown,PG,Action,1980,6.7,22000,Don Taylor,Thomas Hunter,Kirk Douglas,United States,12000000,16647800,Bryna Productions
Xanadu,PG,Fantasy,1980,5.3,12000,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,United States,20000000,22762571,Universal Pictures
Brubaker,R,Crime,1980,7.2,17000,Stuart Rosenberg,W.D. Richter,Robert Redford,United States,9000000,37121708,Twentieth Century Fox
American Gigolo,R,Crime,1980,6.2,22000,Paul Schrader,Paul Schrader,Richard Gere,United States,4800000,22743674,Paramount Pictures
Cattle Annie and Little Britches,PG,Drama,1980,6.1,604,Lamont Johnson,David Eyre,Scott Glenn,United States,5100000,534816,Cattle Annie Productions
Private Benjamin,R,Comedy,1980,6.2,24000,Howard Zieff,Nancy Meyers,Goldie Hawn,United States,10000000,69847348,Warner Bros.
The Hollywood Knights,R,Comedy,1980,6.3,4300,Floyd Mutrux,Floyd Mutrux,Tony Danza,United States,4000000,10000000,PolyGram Filmed Entertainment
Motel Hell,R,Comedy,1980,6,11000,Kevin Connor,Robert Jaffe,Rory Calhoun,United States,3000000,6342668,Camp Hill
The Stunt Man,R,Action,1980,7.1,9000,Richard Rush,Lawrence B. Marcus,Peter O'Toole,United States,3500000,7063886,Melvin Simon Productions
The Island,R,Action,1980,5.3,3900,Michael Ritchie,Peter Benchley,Michael Caine,United States,22000000,15716828,Universal Pictures
The Nude Bomb,PG,Action,1980,5.1,3100,Clive Donner,Mel Brooks,Don Adams,United States,15000000,14662035,Universal Pictures
When Time Ran Out...,PG,Action,1980,4.6,2600,James Goldstone,Gordon Thomas,Paul Newman,United States,20000000,3763988,International Cinema
Oh Heavenly Dog,PG,Comedy,1980,5.4,2400,Joe Camp,Rod Browning,Chevy Chase,United States,6000000,6216067,Mulberry Square Productions
The Octagon,R,Action,1980,5.1,5200,Eric Karson,Leigh Chapman,Chuck Norris,United States,4000000,18971000,American Cinema Productions
History of the World: Part I,R,Comedy,1981,6.9,47000,Mel Brooks,Mel Brooks,Mel Brooks,United States,11000000,31672907,Brooksfilms
The Howling,R,Horror,1981,6.6,32000,Joe Dante,Gary Brandner,Dee Wallace,United States,1000000,17985893,Embassy Pictures
Dragonslayer,PG,Action,1981,6.7,16000,Matthew Robbins,Hal Barwood,Peter MacNicol,United Kingdom,18000000,14110013,Paramount Pictures
Cutter's Way,R,Crime,1981,6.9,5300,Ivan Passer,Newton Thornburg,Jeff Bridges,United States,3000000,1752634,Gurian Entertainment
Quest for Fire,R,Adventure,1981,7.3,21000,Jean-Jacques Annaud,Gérard Brach,Everett McGill,Canada,12500000,20962615,International Cinema Corporation (ICC)
The Final Conflict,R,Horror,1981,5.6,19000,Graham Baker,David Seltzer,Sam Neill,United Kingdom,5000000,20471382,Twentieth Century Fox
Mommie Dearest,R,Biography,1981,6.7,15000,Frank Perry,Christina Crawford,Faye Dunaway,United States,5000000,19032261,Paramount Pictures
Private Lessons,R,Comedy,1981,5.2,3400,Alan Myerson,Dan Greenburg,Sylvia Kristel,United States,2800000,26279000,Barry & Enright Productions
The Postman Always Rings Twice,R,Crime,1981,6.6,22000,Bob Rafelson,David Mamet,Jack Nicholson,West Germany,12000000,12376625,CIP Filmproduktion GmbH
Sophie's Choice,R,Drama,1982,7.6,44000,Alan J. Pakula,William Styron,Meryl Streep,United Kingdom,12000000,30036000,Incorporated Television Company (ITC)
Gandhi,PG,Biography,1982,8,220000,Richard Attenborough,John Briley,Ben Kingsley,United Kingdom,22000000,52767889,International Film Investors
Tootsie,PG,Comedy,1982,7.4,100000,Sydney Pollack,Don McGuire,Dustin Hoffman,United States,21000000,177200000,Columbia Pictures
Tron,PG,Action,1982,6.8,115000,Steven Lisberger,Steven Lisberger,Jeff Bridges,United States,17000000,33000525,Walt Disney Productions
The Secret of NIMH,G,Animation,1982,7.6,37000,Don Bluth,Robert C. O'Brien,Elizabeth Hartman,United States,7000000,14665733,Aurora
The King of Comedy,PG,Comedy,1982,7.8,94000,Martin Scorsese,Paul D. Zimmerman,Robert De Niro,United States,20000000,2536242,Embassy International Pictures
Rocky III,PG,Drama,1982,6.8,179000,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,United States,17000000,125052686,Chartoff-Winkler Productions
The Beastmaster,PG,Action,1982,6.2,22000,Don Coscarelli,Don Coscarelli,Marc Singer,United States,8000000,14056528,Leisure Investment Company
Creepshow,R,Comedy,1982,6.9,44000,George A. Romero,Stephen King,Hal Holbrook,United States,8000000,21028755,United Film Distribution Company (UFDC)
The Man from Snowy River,PG,Adventure,1982,7.3,8200,George Miller,A.B. 'Banjo' Paterson,Kirk Douglas,Australia,3500000,20659423,Cambridge Productions
Pink Floyd: The Wall,R,Drama,1982,8,78000,Alan Parker,Roger Waters,Bob Geldof,United Kingdom,12000000,22265763,Goldcrest Films International
Cat People,R,Fantasy,1982,6.2,20000,Paul Schrader,DeWitt Bodeen,Nastassja Kinski,United States,18000000,7000000,RKO Pictures
Fanny and Alexander,R,Drama,1982,8.1,59000,Ingmar Bergman,Ingmar Bergman,Bertil Guve,Sweden,6000000,6795771,Cinematograph AB
Friday the 13th Part III,R,Horror,1982,5.7,49000,Steve Miner,Martin Kitrosser,Dana Kimmell,United States,2300000,36690067,Paramount Pictures
Firefox,PG,Action,1982,6,26000,Clint Eastwood,Alex Lasker,Clint Eastwood,United States,18000000,46708276,Major Studio Partners
Halloween III: Season of the Witch,R,Horror,1982,5,45000,Tommy Lee Wallace,Tommy Lee Wallace,Tom Atkins,United States,2500000,14400000,Dino De Laurentiis Company
The Dark Crystal,PG,Adventure,1982,7.2,63000,Jim Henson,David Odell,Jim Henson,United Kingdom,15000000,41630431,Incorporated Television Company (ITC)
The Verdict,R,Drama,1982,7.7,37000,Sidney Lumet,Barry Reed,Paul Newman,United States,16000000,53993738,Twentieth Century Fox
Pieces,Not Rated,Horror,1982,6.1,9300,Juan Piquer Simón,Dick Randall,Christopher George,Spain,300000,2032311,Almena Films
The World According to Garp,R,Comedy,1982,7.2,25000,George Roy Hill,John Irving,Robin Williams,United States,17000000,29712172,Pan Arts
Diner,R,Comedy,1982,7.1,19000,Barry Levinson,Barry Levinson,Steve Guttenberg,United States,5000000,14099953,Metro-Goldwyn-Mayer (MGM)
The Best Little Whorehouse in Texas,R,Comedy,1982,6,10000,Colin Higgins,Larry L. King,Burt Reynolds,United States,35000000,69701637,Universal Pictures
The Year of Living Dangerously,PG,Drama,1982,7.1,20000,Peter Weir,David Williamson,Mel Gibson,Australia,13000000,10278575,Metro-Goldwyn-Mayer (MGM)
The Last Unicorn,G,Animation,1982,7.4,25000,Jules Bass,Peter S. Beagle,Jeff Bridges,United Kingdom,3500000,6455330,Rankin/Bass Productions
The Entity,R,Drama,1982,6.7,15000,Sidney J. Furie,Frank De Felitta,Barbara Hershey,United States,9000000,13277558,American Cinema Productions
Airplane II: the Sequel,PG,Comedy,1982,6.2,50000,Ken Finkleman,Ken Finkleman,Robert Hays,United States,15000000,27150534,Paramount Pictures
The Toy,PG,Comedy,1982,5.8,11000,Richard Donner,Francis Veber,Richard Pryor,United States,17000000,47118057,Columbia Pictures
The House on Sorority Row,R,Horror,1982,6,7800,Mark Rosman,Mark Rosman,Kate McNeil,United States,425000,10604986,VAE Productions
Evil Under the Sun,PG,Crime,1982,7.1,15000,Guy Hamilton,Anthony Shaffer,Peter Ustinov,United Kingdom,10000000,6110670,EMI Films
Death Wish II,R,Action,1982,6,15000,Michael Winner,David Engelbach,Charles Bronson,United States,2000000,16100000,Golan-Globus Productions
Silent Rage,R,Action,1982,5.5,5300,Michael Miller,Joseph Fraley,Chuck Norris,United States,4500000,10490791,Columbia Pictures
Megaforce,PG,Action,1982,3.7,3400,Hal Needham,Bob Kachler,Barry Bostwick,Hong Kong,20000000,5675599,Golden Harvest Company
Personal Best,R,Drama,1982,6.3,2600,Robert Towne,Robert Towne,Mariel Hemingway,United States,16000000,5672311,The Geffen Company
Dead Men Don't Wear Plaid,PG,Comedy,1982,6.9,21000,Carl Reiner,Carl Reiner,Steve Martin,United States,9000000,18196170,Aspen Film Society
Amityville II: The Possession,R,Horror,1982,5.5,11000,Damiano Damiani,Tommy Lee Wallace,James Olson,Mexico,5000000,12534817,Dino De Laurentiis Company
Missing,PG,Biography,1982,7.7,19000,Costa-Gavras,Costa-Gavras,Jack Lemmon,United States,9500000,14000000,PolyGram Filmed Entertainment
Best Friends,PG,Comedy,1982,5.5,2700,Norman Jewison,Valerie Curtin,Burt Reynolds,United States,15000000,36821203,Warner Bros.
Shoot the Moon,R,Drama,1982,6.9,2500,Alan Parker,Bo Goldman,Albert Finney,United States,12000000,9217530,Metro-Goldwyn-Mayer (MGM)
Lookin' to Get Out,R,Comedy,1982,5.1,684,Hal Ashby,Al Schwartz,Jon Voight,United States,17000000,946461,Lorimar Productions
Barbarosa,PG,Western,1982,6.4,1500,Fred Schepisi,William D. Wittliff,Willie Nelson,United States,11000000,1736123,Incorporated Television Company (ITC)
Sahara,PG,Adventure,1983,5,1500,Andrew V. McLaglen,Menahem Golan,Brooke Shields,United Kingdom,25000000,1402962,Cabal Film
Two of a Kind,PG,Comedy,1983,4.7,3900,John Herzfeld,John Herzfeld,John Travolta,United States,14000000,23646952,Twentieth Century Fox
Chained Heat,R,Action,1983,5,2100,Paul Nicholas,Aaron Butler,Linda Blair,United States,1250000,6149983,Heat GBR
Spacehunter: Adventures in the Forbidden Zone,PG,Action,1983,5.5,5500,Lamont Johnson,Stewart Harding,Peter Strauss,United States,14400000,16478265,Columbia Pictures
High Road to China,PG,Adventure,1983,6.1,5100,Brian G. Hutton,Jon Cleary,Tom Selleck,United States,19000000,28445927,City Films
Of Unknown Origin,R,Horror,1983,6.1,2900,George P. Cosmatos,Chauncey G. Parker III,Peter Weller,Canada,4000000,1080470,Warner Bros.
Curse of the Pink Panther,PG,Comedy,1983,4.3,5700,Blake Edwards,Blake Edwards,David Niven,United Kingdom,11000000,4491986,United Artists
D.C. Cab,R,Action,1983,5.5,4400,Joel Schumacher,Topper Carew,Max Gail,United States,8000000,16134627,RKO Pictures
Beyond the Limit,R,Drama,1983,5.7,1200,John Mackenzie,Graham Greene,Michael Caine,United Kingdom,11800000,5997566,World Film Services
The Survivors,R,Comedy,1983,5.8,4700,Michael Ritchie,Michael Leeson,Walter Matthau,United States,12000000,14000000,Rastar Films
The Lonely Lady,R,Drama,1983,3,938,Peter Sasdy,Harold Robbins,Pia Zadora,United States,5000000,1223200,Harold Robbins International Company
The Man Who Loved Women,R,Comedy,1983,5.3,2200,Blake Edwards,Blake Edwards,Burt Reynolds,United States,19000000,10964740,Delphi Films
Nightmares,R,Horror,1983,5.8,3000,Joseph Sargent,Christopher Crowe,Cristina Raines,United States,6000000,6670680,Universal Pictures
Deal of the Century,PG,Comedy,1983,4.6,3600,William Friedkin,Paul Brickman,Chevy Chase,United States,10000000,10369581,Warner Bros.
Eddie Macon's Run,PG,Action,1983,5.7,1100,Jeff Kanew,James McLendon,Kirk Douglas,United States,5000000,1262691,Universal Pictures
Love Letters,R,Drama,1983,5.9,701,Amy Holden Jones,Amy Holden Jones,Jamie Lee Curtis,United States,550000,5269990,Millenium
Get Crazy,R,Comedy,1983,6.7,1100,Allan Arkush,Danny Opatoshu,Malcolm McDowell,United States,5500000,1645711,D & P Productions